epoch,critic_loss,decoder_accuracy,decoder_loss,encoder_decoder_total_loss,psnr,realism_loss,rs_bpp,similarity_loss,ssim,val_critic_loss,val_decoder_accuracy,val_decoder_loss,val_encoder_decoder_total_loss,val_psnr,val_realism_loss,val_rs_bpp,val_similarity_loss,val_ssim
0,-0.0022196185309439898,0.5368047952651978,0.7181688547134399,0.8313024640083313,10.627528190612793,0.000407479441491887,0.36804917454719543,0.11272589862346649,0.4417867660522461,-0.005919886752963066,0.5541035532951355,0.6840798854827881,0.7143867015838623,15.393441200256348,0.0007850658148527145,0.5410351157188416,0.029521586373448372,0.6221328973770142
1,-0.008739023469388485,0.6218816637992859,0.6496762037277222,0.6747668385505676,15.684125900268555,-0.003102982882410288,1.2188162803649902,0.028193561360239983,0.6142544746398926,-0.00788371916860342,0.6641526818275452,0.6292524933815002,0.641490638256073,15.962451934814453,-0.013608569279313087,1.6415270566940308,0.025846747681498528,0.6251056790351868
2,-0.01487595122307539,0.7026072144508362,0.5704441070556641,0.5741850733757019,15.838172912597656,-0.023106131702661514,2.026071548461914,0.02684742771089077,0.5965132713317871,-0.02360520511865616,0.7248592972755432,0.5488758683204651,0.5451012253761292,15.556801795959473,-0.03253980726003647,2.2485926151275635,0.028765076771378517,0.6017819046974182
3,-0.029173217713832855,0.7441316246986389,0.5124078989028931,0.5032420754432678,15.645432472229004,-0.037389274686574936,2.4413177967071533,0.028223436325788498,0.5860175490379333,-0.033928729593753815,0.7587996125221252,0.490291953086853,0.4815383553504944,15.162184715270996,-0.04053477942943573,2.5879967212677,0.03178121894598007,0.573937177658081
4,-0.03668525069952011,0.7710004448890686,0.4641115069389343,0.4549214243888855,14.956860542297363,-0.042576324194669724,2.710003137588501,0.03338635340332985,0.5469642281532288,-0.03945476561784744,0.781617283821106,0.4424900710582733,0.4357786178588867,14.568551063537598,-0.043728023767471313,2.8161730766296387,0.03701651468873024,0.5349298715591431
