epoch,decoder_accuracy,decoder_loss,encoder_decoder_total_loss,psnr,rs_bpp,similarity_loss,ssim,val_decoder_accuracy,val_decoder_loss,val_encoder_decoder_total_loss,val_psnr,val_rs_bpp,val_similarity_loss,val_ssim
0,0.7128707766532898,0.5562314391136169,0.6825482845306396,9.399880409240723,0.851483166217804,0.12631674110889435,0.3545103967189789,0.8390228152275085,0.4989626705646515,0.5733953714370728,11.360381126403809,1.3560912609100342,0.07443256676197052,0.40641793608665466
1,0.9521721005439758,0.15671101212501526,0.24495403468608856,10.621868133544922,1.8086879253387451,0.08824294805526733,0.34596943855285645,0.9741379022598267,0.15396837890148163,0.23204250633716583,11.161182403564453,1.896551489830017,0.0780741274356842,0.3778301179409027
2,0.9836852550506592,0.06419093161821365,0.13368657231330872,11.678389549255371,1.9347419738769531,0.06949558109045029,0.3860067129135132,0.9895440936088562,0.05225411057472229,0.12182991951704025,11.66767692565918,1.9581762552261353,0.06957579404115677,0.40159323811531067
3,0.989938497543335,0.040254298597574234,0.09788037091493607,12.503639221191406,1.9597543478012085,0.057626064866781235,0.4261797070503235,0.9931378364562988,0.03138049691915512,0.08661378920078278,12.703621864318848,1.9725512266159058,0.05523330345749855,0.44822463393211365
4,0.9923586845397949,0.029944615438580513,0.0800713449716568,13.121807098388672,1.9694346189498901,0.05012676119804382,0.45818230509757996,0.9943029880523682,0.025117654353380203,0.07127245515584946,13.515193939208984,1.9772119522094727,0.04615479335188866,0.48971298336982727
