epoch,decoder_accuracy,decoder_loss,encoder_decoder_total_loss,psnr,rs_bpp,similarity_loss,ssim,val_decoder_accuracy,val_decoder_loss,val_encoder_decoder_total_loss,val_psnr,val_rs_bpp,val_similarity_loss,val_ssim
0,0.7927526831626892,0.42194846272468567,0.5516334772109985,9.381731033325195,0.5855053663253784,0.12968488037586212,0.3375011384487152,0.9662573337554932,0.3429219424724579,0.40468892455101013,12.123739242553711,0.9325146675109863,0.061766963452100754,0.4629780650138855
1,0.9845502972602844,0.05800989270210266,0.1254064291715622,11.861847877502441,0.9691006541252136,0.06739655137062073,0.4080231785774231,0.9918017387390137,0.07097215950489044,0.1285913586616516,12.491146087646484,0.9836035370826721,0.057619184255599976,0.45727211236953735
2,0.9931476712226868,0.026892218738794327,0.07504186779260635,13.314716339111328,0.9862953424453735,0.048149656504392624,0.4778188467025757,0.995440661907196,0.02338745817542076,0.06884615123271942,13.564020156860352,0.9908813238143921,0.04545868933200836,0.5082769393920898
3,0.9951683878898621,0.01859125867486,0.05766649171710014,14.216580390930176,0.9903367757797241,0.039075206965208054,0.5235161185264587,0.9965277314186096,0.015259215608239174,0.05248774588108063,14.448805809020996,0.9930554032325745,0.0372285358607769,0.5528433918952942
4,0.9959676265716553,0.014985250309109688,0.04895608127117157,14.827600479125977,0.9919352531433105,0.033970821648836136,0.5551909804344177,0.9968603253364563,0.012784437276422977,0.044144149869680405,15.209624290466309,0.9937207102775574,0.031359706073999405,0.5889101624488831
